player_id,player_name,yellow_card,second_yellow_card,red_card,total_yellow,total_red,mins_played,position_mapped,redsize
13502,luciano zavagno,8,0,0,8,0,2157,defender,1
135057,andré carrillo,2,0,0,2,0,1536,attacker,1
13506,chris armstrong,2,0,0,2,0,2212,defender,1
13507,leighton baines,45,0,0,45,0,35423,defender,1
13509,michael brown,49,1,2,50,3,14450,midfielder,4
13510,jimmy bullard,2,0,0,2,0,7469,midfielder,1
13514,nicky eaden,4,0,0,4,0,2995,defender,1
13515,nathan ellington,0,0,0,0,0,1529,attacker,1
13516,john filan,6,0,0,6,0,6484,goalkeeper,1
13519,matt jackson,12,0,0,12,0,11726,defender,1
13520,phil jagielka,24,1,2,25,3,31345,defender,4
135213,kenneth zohore,1,0,0,1,0,746,attacker,1
13522,steve kabba,0,0,0,0,0,733,attacker,1
13523,peter kennedy,4,0,0,4,0,1539,defender,1
13524,paddy kenny,5,0,0,5,0,6001,goalkeeper,1
13525,rob kozluk,6,0,0,6,0,2374,defender,1
13527,andy liddell,1,0,0,1,0,1204,attacker,1
135271,john wark,8,0,1,8,1,8757,midfielder,2
13529,stuart mccall,9,0,1,9,1,6239,midfielder,2
13530,steve mcmillan,0,0,0,0,0,60,defender,1
13532,nick montgomery,7,0,0,7,0,1983,midfielder,1
13533,chris morgan,9,0,1,9,1,2938,defender,2
13534,peter ndlovu,6,0,0,6,0,12084,attacker,1
135343,fabian schär,21,0,0,21,0,4893,defender,1
13543,gary teale,1,0,1,1,1,3176,attacker,2
13544,michael tonge,7,0,0,7,0,2313,midfielder,1
13547,gary walsh,4,0,0,4,0,8608,goalkeeper,1
13548,ashley ward,22,0,0,22,0,11012,attacker,1
13552,peter atherton,34,1,0,35,1,28306,defender,2
13556,tim cahill,45,1,2,46,3,17996,midfielder,4
13558,clive clarke,0,0,0,0,0,121,defender,1
13563,neil cutler,0,0,0,0,0,6,goalkeeper,1
13569,john eustace,14,0,0,14,0,3267,midfielder,1
13572,ben foster,13,0,0,13,0,32618,goalkeeper,1
13573,simon francis,21,2,2,23,4,11224,defender,5
13575,andy gray,1,0,0,1,0,2717,attacker,1
13578,marcus hall,14,0,0,14,0,7989,defender,1
13582,karl henry,29,0,3,29,3,10546,midfielder,4
13583,clint hill,16,0,1,16,1,5739,defender,2
135853,manuel lanzini,20,0,0,20,0,9146,midfielder,1
13586,paul ifill,0,0,0,0,0,168,attacker,1
13587,wayne jacobs,4,0,0,4,0,3540,defender,1
13590,matt lawrence,0,0,0,0,0,55,defender,1
135910,neville southall,4,0,2,4,2,18532,goalkeeper,3
135911,dave watson,25,1,0,26,1,19252,defender,2
13595,stuart nethercott,6,0,0,6,0,3138,defender,1
13596,gifton noel-williams,1,0,0,1,0,149,attacker,1
13603,andy roberts,17,0,0,17,0,6577,midfielder,1
136042,vinnie jones,38,5,1,43,6,15378,midfielder,7
13614,darren ward,0,0,0,0,0,718,defender,1
13615,david wetherall,40,0,0,40,0,21947,defender,1
13616,andy wilkinson,26,2,0,28,2,9029,defender,3
13640,kelvin davis,0,0,0,0,0,4710,goalkeeper,1
13644,mark robins,1,0,0,1,0,6806,attacker,1
13647,chris swailes,0,0,0,0,0,360,defender,1
